의소코드	2단계 지시문 및 대화
step2-1-D1;자라나에게 내일 영화를 보러 가자고 물어보세요.
step2-1-1;Why don’t we [go to the movies] tomorrow?
step2-1-2;I’d love to. How about 3 o’clock?
step2-1-D2;자라나의 제안에 좋다고 하고 3시에 만나는 게 어떤지 제안하세요.
step2-1-3;Why don’t we go to the movies tomorrow?
step2-1-4;I’d love to. How about [3 o’clock]?
step2-2-D1;자라나에게 가장 좋아하는 과목을 물어 보세요.
step2-2-1;What’s your [favorite subject]?
step2-2-2;My favorite subject is English.
step2-2-D2;자라나에게 가장 좋아하는 과목이 영어라고 말해보세요.
step2-2-3;What’s your favorite subject?
step2-2-4;My favorite subject is [English].
step2-3-D1;자라나에게 관심사에 대해 물어보세요.
step2-3-1;What are you [interested in]?
step2-3-2;I’m interested in basketball.
step2-3-D2;자라나에게 농구에 흥미가 있다고 답해보세요.
step2-3-3;What are you interested in?
step2-3-4;I’m interested in [basketball].
step2-4-D1;자라나에게 SNS에 대한 의견을 물어보세요.
step2-4-1;What is your opinion about [social media]?
step2-4-2;It’s good for relationships.
step2-4-D2;자라나의 질문에 관계를 위해 좋다고 답해보세요.
step2-4-3;What is your opinion about social media?
step2-4-4;It’s good for [relationships].
step2-5-D1;자라나에게 그녀가 스카프를 좋아할지 궁금하다고 물어 보세요.
step2-5-1;I wonder if she likes [the scarf].
step2-5-2;I think she will.
step2-5-D2;자라나에게 좋아할 것 같다고 답해보세요.
step2-5-3;I wonder if she likes the scarf.
step2-5-4;I think she will.
step2-6-D1;자라나에게 K-pop이 무엇인지 물어보세요.
step2-6-1;[What is] K-pop?
step2-6-2;It is short for Korean pop music.
step2-6-D2;자라나에게 한복은 한국의 전통 의상이라고 설명해보세요.
step2-6-3;What is Hanbok?
step2-6-4;It is a Korean [traditional clothing].
step2-7-D1;자라나에게 자판기 사용법을 알고 있는지 물어보세요.
step2-7-1;[Do you know] how to use a [vending machine]?
step2-7-2;I don’t know how to use it. I’m sorry.
step2-7-D2;자라나에게 바이올린을 켤 줄 안다고 답해보세요.
step2-7-3;Do you know how to play the violin?
step2-7-4;Yes, [I do.]
step2-8-D1;자라나에게 내 목이 아프다고 이야기 해보세요.
step2-8-1;My [neck hurts.]
step2-8-2;Really? I think you should go see a doctor.
step2-8-D2;자라나에게 영어를 매일 연습하라고 충고해보세요.
step2-8-3;I’m not good at English. What should I do?
step2-8-4;I think [you should practice English every day.]
step2-9-D1;자라나에게 나의 영어 숙제를 도와줄 수 있는지 물어보세요.
step2-9-1;Can you [help m|with my English homework]?
step2-9-2;Sure, I can.
step2-9-D2;자라나를 위해 우편을 보낼 수 있다고 답해보세요.
step2-9-3;Can you mail this letter for me?
step2-9-4;<Sure|No problem|Yes, I can>.
step2-10-D1;자라나에게 한국어를 할 수 있는지 물어보세요.
step2-10-1;Can you [speak][Korean]?
step2-10-2;Yes, I can. “한국말 할 수 있어요.”
step2-10-D2;자라나에게 영어로 말할 수 있다고 답해보세요.
step2-10-3;Can you speak English?
step2-10-4;Yes, I can|No, I can’t.
step2-11-D1;자라나에게 소고기와 돼지고기중 무엇을 선호하는지 물어보세요.
step2-11-1;Which do you prefer, [beef] or [pork]?
step2-11-2;I prefer pork.
step2-11-D2;자라나에게 소고기를 선호한다고 말해 보세요.
step2-11-3;Which do you prefer, beef or pork?
step2-11-4;I prefer [beef].
step2-12-D1;자라나에게 영어를 배우는 이유를 물어보세요.
step2-12-1;[Why do you] learn English?
step2-12-2;Because I can communicate with people from other countries.
step2-12-D2;자라나에게 전화를 잃어버렸기 때문이라는 이유를 말해 보세요.
step2-12-3;Why do you look so sad?
step2-12-4;Because [I lost my phone.]
step2-13-D1;자라나에게 제주도로 여행을 갈 계획인지 물어보세요.
step2-13-1;Are you going to [travel to Jeju]?
step2-13-2;Yes, I am looking forward to it.
step2-13-D2;자라나에게 소풍을 기대한다고 말해 보세요.
step2-13-3;Are you going to go on a picnic?
